,Time,Angle,LinAcc,GravX,GravY,GravZ,LinVel1,LinVel2
0,0.01982,0,2.03324863211561,-9.4,-2.78,-0.25,0.0,0.0
1,0.036732,2,3.7080183386817276,-9.37,-2.88,-0.19,2.4019463182975467,8.591835043829448
2,0.056448,3,4.9912523478582,-9.34,-2.97,-0.12,2.4730800918766382,8.602279371996119
3,0.076344,4,5.481477902901735,-9.3,-3.08,-0.03,2.5615845958413774,8.631149010269441
4,0.093008,6,5.26716242392429,-9.27,-3.17,0.04,2.6349401718258267,8.64539359921132
5,0.11308399999999999,8,6.62732223450769,-9.26,-3.21,0.09,2.7277077658158313,8.68947735395142
6,0.130884,11,6.843142552950363,-9.24,-3.27,0.18,2.8188554743341707,8.734051408298559
7,0.147912,14,7.203644910737897,-9.23,-3.28,0.25,2.9110177622035796,8.778332674503163
8,0.167732,17,6.593982104919607,-9.24,-3.24,0.3,3.0165451554844593,8.83975407596709
9,0.184576,22,5.739799648071351,-9.27,-3.16,0.33,3.0907742850367286,8.868316103629542
10,0.203988,26,4.812120114876602,-9.32,-3.01,0.34,3.160826593801667,8.895419954587478
11,0.22430799999999998,31,2.685386378158644,-9.35,-2.91,0.34,3.2068628120055447,8.896281538295478
12,0.24118399999999998,35,2.1157740900200097,-9.43,-2.65,0.34,3.223266371354814,8.861480648064731
13,0.250148,35,2.1157740900200097,-9.43,-2.65,0.34,3.2243287114016574,8.805133364746432
14,0.270324,41,4.200130950339525,-9.55,-2.17,0.34,3.2463999103878836,8.793535132532341
15,0.28725999999999996,45,4.858662367359971,-9.62,-1.85,0.29,3.24192067837996,8.794931912085383
16,0.30678,48,5.611140703992371,-9.68,-1.54,0.21,3.1948734677468034,8.821804107800544
17,0.326916,49,3.7064943005487003,-9.72,-1.21,0.15,3.1423871163511645,8.840300974765025
18,0.344128,50,2.776130400395486,-9.76,-0.87,0.14,3.1102629515134748,8.820777360680113
19,0.36407999999999996,50,2.3156208670678367,-9.79,-0.51,0.16,3.0860982336601914,8.796259589063089
20,0.381216,50,2.3238330404742937,-9.8,-0.15,0.14,3.0647963178198,8.760697347881672
21,0.39021999999999996,50,2.3238330404742937,-9.8,-0.15,0.14,3.046590266949746,8.706308058316866
22,0.410344,49,1.8879353802500762,-9.8,0.19,0.1,3.0209084910424298,8.673373789904955
23,0.429268,48,3.0305775027212225,-9.78,0.58,0.04,2.985631688550982,8.644599676542391
24,0.44612799999999997,46,3.5709522539513183,-9.75,0.99,0.0,2.938655577353009,8.624937490129904
25,0.46609999999999996,43,4.040903364348126,-9.7,1.4,-0.03,2.8692309828877716,8.625636398073004
26,0.482792,40,3.962966060919523,-9.64,1.78,-0.04,2.800651934540767,8.61712361003505
27,0.500996,37,3.888071501400148,-9.6,1.96,-0.03,2.7250942204523536,8.613270671666045
28,0.521064,34,4.012306070079899,-9.53,2.3,-0.03,2.644136435546726,8.617229977957038
29,0.529996,34,4.012306070079899,-9.53,2.3,-0.03,2.6025992063655434,8.577754813513755
30,0.5470079999999999,27,4.1172077916957255,-9.4,2.76,-0.03,2.5398979419699264,8.57159137616078
31,0.5668759999999999,23,4.198511641046146,-9.32,3.02,-0.05,2.4799929740858726,8.578886650744401
32,0.583716,18,4.1696642550689855,-9.25,3.24,-0.06,2.437334762693408,8.574033609528453
33,0.60286,13,4.66589755566922,-9.18,3.43,-0.1,2.4098308965072723,8.5832945249196
34,0.622972,9,3.0234417474130373,-9.15,3.51,-0.13,2.401218386541707,8.585305438690156
35,0.639896,6,1.1713667231059623,-9.1,3.64,-0.21,2.3888072130511677,8.54548882570645
36,0.6600159999999999,4,2.7344286423309714,-9.04,3.77,-0.3,2.368850876473118,8.509468044821508
37,0.6788719999999999,2,8.720097476519399,-9.0,3.85,-0.44,2.3543084855308325,8.542148234808792
38,0.6957519999999999,2,10.31057709345117,-8.99,3.87,-0.57,2.375733414830705,8.627454045918105
39,0.715552,3,6.263577252656823,-8.99,3.85,-0.66,2.4346262698315733,8.716225091683336
40,0.732196,5,4.991282400345627,-9.04,3.73,-0.72,2.478077993278254,8.734574951454386
41,0.751236,5,14.658652734818434,-9.05,3.68,-0.74,2.521158950718915,8.84632925167991
42,0.7603599999999999,5,14.658652734818434,-9.05,3.68,-0.74,2.5556256076147243,8.904761716971155
43,0.7789959999999999,8,6.591039371753138,-9.11,3.57,-0.58,2.6390424067074827,9.02745326575895
44,0.7958719999999999,12,4.495219683174561,-9.13,3.54,-0.4,2.6395367788058537,9.045686037403192
45,0.815892,14,19.003076066784555,-9.15,3.49,-0.35,2.499997459636595,9.205590895599045
46,0.833016,15,22.57562180760477,-9.16,3.46,-0.37,2.3858880645111142,9.486274624538328
47,0.852984,15,14.333603873415786,-9.22,3.3,-0.44,2.474359652157368,9.7794632514764
48,0.8732399999999999,15,8.029875466033081,-9.28,3.11,-0.54,2.6125160781108905,9.9306474879651
49,0.89,14,2.613292941864727,-9.31,3.0,-0.58,2.662248184330107,9.944524156962046
50,0.910256,13,3.1712142784744146,-9.39,2.75,-0.65,2.635873501123046,9.927796563828402
51,0.928728,13,3.8322056312259654,-9.46,2.48,-0.69,2.5769311263039043,9.917167067853157
52,0.945676,13,2.3537417020565363,-9.52,2.22,-0.73,2.552075138073514,9.894273703294155
53,0.9655199999999999,13,1.6889049706836676,-9.56,2.02,-0.79,2.5658589019382454,9.859071761319846
54,0.9826079999999999,12,0.9222255689363639,-9.59,1.85,-0.83,2.5743281728702687,9.806068178389122
55,1.002048,12,1.1763502879669812,-9.62,1.66,-0.87,2.577496480236559,9.751153253456984
56,1.02276,11,3.4819247550744112,-9.63,1.57,-0.89,2.5983311373695375,9.724081267541484
57,1.039604,10,3.012142094921818,-9.68,1.24,-0.93,2.629118995374485,9.703461216290915
58,1.059652,9,2.5586129054626454,-9.69,1.12,-0.94,2.66420490878798,9.68398938215353
59,1.078184,8,2.006115649707165,-9.72,0.88,-0.95,2.6862646693991543,9.650973074684496
60,1.095132,7,0.6673829485385434,-9.74,0.63,-0.94,2.6916322497782548,9.59831521954479
61,1.114904,6,1.0565036677645754,-9.75,0.37,-0.93,2.6935701935080356,9.540044480372327
62,1.131592,4,1.7020575783445164,-9.76,0.11,-0.91,2.7008469681346656,9.487748833148622
63,1.140636,4,1.7020575783445164,-9.76,0.11,-0.91,2.701526365225607,9.427829159625933
64,1.160596,2,1.779971909890715,-9.76,-0.17,-0.89,2.6891781612892833,9.387266731657284
65,1.1785839999999999,0,2.859597873827717,-9.75,-0.46,-0.85,2.642309768380658,9.353681940030809
66,1.195544,-1,3.1559784536653606,-9.74,-0.73,-0.82,2.5909356016773923,9.329380945026712
67,1.2154639999999999,-1,3.60455267682413,-9.72,-0.98,-0.79,2.535323466767845,9.321402752825149
68,1.232396,-2,3.5681087427375306,-9.69,-1.24,-0.76,2.489190847687627,9.306813422141921
69,1.2523039999999999,-2,2.511632934964821,-9.66,-1.46,-0.74,2.4491163508874694,9.292018088540532
70,1.272376,-2,1.5823084402227021,-9.63,-1.66,-0.72,2.427870175158376,9.257791801920677
71,1.28914,-2,1.4512753012437027,-9.62,-1.76,-0.7,2.412517002920903,9.20790621858041
72,1.309288,-2,1.4726167186338746,-9.58,-1.96,-0.66,2.3962263891615554,9.16204842452742
73,1.32782,-2,1.9229404566964625,-9.54,-2.18,-0.6,2.386955684725959,9.118198575052793
74,1.344952,-1,3.353386348156144,-9.49,-2.4,-0.53,2.372740668778204,9.088082508201921
75,1.364824,0,3.8105773840718675,-9.43,-2.62,-0.44,2.350125220561528,9.083950569584102
76,1.381808,2,4.159290804932976,-9.39,-2.79,-0.34,2.3355849981600216,9.076317607983892
77,1.39088,2,4.159290804932976,-9.39,-2.79,-0.34,2.3262610957961707,9.038737611905008
78,1.411052,4,6.691158345159678,-9.35,-2.92,-0.23,2.350320519874117,9.072862159771605
79,1.420108,4,6.691158345159678,-9.35,-2.92,-0.23,2.3689859611483817,9.058144207484133
80,1.436996,7,6.495152038251299,-9.3,-3.1,-0.08,2.4166546804946476,9.094176330100417
81,1.457296,10,7.546350111146448,-9.27,-3.18,0.0,2.471418192234259,9.161384494655566
82,1.4766839999999999,14,5.387893837112977,-9.26,-3.21,0.08,2.5093985352826715,9.211455973228755
83,1.4936639999999999,19,5.071626957890338,-9.27,-3.16,0.14,2.5200321504075123,9.224944222517095
84,1.513456,22,3.341212354819729,-9.31,-3.04,0.19,2.501048766475754,9.232884598094437
85,1.530128,27,3.0009665109760886,-9.37,-2.85,0.24,2.4663188369092897,9.210439918858471
86,1.548736,30,1.9484352696458767,-9.41,-2.74,0.26,2.4435015721645663,9.181176070764138
87,1.568952,34,0.961041102138717,-9.48,-2.48,0.29,2.435954587033622,9.1352719756689
88,1.585812,38,1.5547990223819925,-9.54,-2.2,0.32,2.4398306762495885,9.081167425657373
89,1.6052959999999998,41,1.6959363195591985,-9.6,-1.94,0.32,2.451672916232996,9.037523007097326
90,1.6254119999999999,44,2.1043288716358,-9.65,-1.66,0.32,2.450498556405837,9.000432992129126
91,1.64238,46,1.9142883795290613,-9.71,-1.32,0.33,2.4408388183116356,8.959213858626772
92,1.662,47,2.268788222818516,-9.75,-0.96,0.32,2.433135020667723,8.924936757834562
93,1.670984,47,2.268788222818516,-9.75,-0.96,0.32,2.423455117108851,8.870006468967127
94,1.687876,48,2.3696624232155936,-9.78,-0.6,0.28,2.420231166504092,8.833869740862292
95,1.708052,48,2.3583680798382596,-9.8,-0.23,0.2,2.427296653454705,8.806253030315862
96,1.7268759999999999,48,1.9935395656971546,-9.8,0.12,0.09,2.4395899209200635,8.771900102814405
97,1.743836,47,3.14803113072282,-9.79,0.52,-0.03,2.4493547292267355,8.740187540058807
98,1.76382,46,3.3463263439180584,-9.75,0.95,-0.15,2.451063981615219,8.729766077684182
99,1.780932,44,2.971952220342716,-9.7,1.38,-0.24,2.441541688472842,8.708512186818758
100,1.8004639999999998,42,3.784534317455716,-9.67,1.59,-0.27,2.4215445499569883,8.69918295208566
101,1.821084,39,4.772986486467357,-9.59,1.98,-0.32,2.386464831096214,8.71209790931287
102,1.8301079999999998,39,4.772986486467357,-9.59,1.98,-0.32,2.3628203666611207,8.679856257105513
103,1.8498599999999998,34,5.157528477866118,-9.47,2.51,-0.36,2.324325825696937,8.702616940632032
104,1.870072,30,5.4928316923058915,-9.37,2.84,-0.38,2.283841689583804,8.734936398250552
105,1.88688,26,5.614410031339001,-9.28,3.13,-0.4,2.255702163487425,8.752968575434826
106,1.907084,22,5.901093119075481,-9.19,3.38,-0.43,2.2393817544579933,8.793985105999075
107,1.9262359999999998,16,5.595194366597107,-9.11,3.58,-0.48,2.2409836014035927,8.828760472700639
108,1.9432559999999999,12,4.135371809160574,-9.04,3.73,-0.56,2.2484174272527984,8.836254508595099
109,1.96312,8,1.7007645339670039,-8.99,3.83,-0.67,2.2564617707899295,8.818905932493804
110,1.979836,4,1.6334319698108029,-8.96,3.89,-0.8,2.258004156181008,8.771460064611139
111,1.9979319999999998,2,2.6949953617770848,-8.95,3.89,-0.86,2.237873344222964,8.735310592846108
112,2.017852,0,6.023537166814861,-8.97,3.83,-0.97,2.1780787308617837,8.746834094569648
113,2.0348159999999997,0,7.418793702482905,-9.0,3.73,-1.06,2.112951525669308,8.785538862741793
114,2.0551,0,3.00808909442523,-9.03,3.63,-1.12,2.0608982233648403,8.815975225806797
115,2.075056,0,8.37883643473245,-9.11,3.44,-1.11,2.1021509767124233,8.854280886475493
116,2.091976,-3,13.25244883031057,-9.21,3.17,-1.09,2.243981478579951,8.961968477556518
117,2.1117719999999998,-4,5.627050737286807,-9.31,2.89,-1.02,2.3413106699498787,9.073524682015359
118,2.12084,-4,5.627050737286807,-9.31,2.89,-1.02,2.323646196326933,9.049237695839839
119,2.137568,-4,6.242419402763644,-9.42,2.53,-0.91,2.340109362819177,9.073200861829982
120,2.1577159999999997,-4,5.06261789986169,-9.46,2.4,-0.91,2.380739567125434,9.11177472535539
121,2.176272,-4,12.29198519361295,-9.53,2.12,-0.88,2.3975916913091524,9.197477650595411
122,2.193208,-4,6.218456400104451,-9.58,1.87,-0.87,2.4079365388942806,9.278910987749773
123,2.213012,-4,0.39115214431215894,-9.62,1.66,-0.9,2.396028641770364,9.269046249295348
124,2.229672,-4,0.8626702730475879,-9.65,1.45,-0.93,2.378330380731817,9.204177507770718
125,2.248844,-5,2.0042205467462906,-9.66,1.34,-0.94,2.3551031282598403,9.156346440908022
126,2.26888,-5,1.4898322053170956,-9.69,1.11,-0.95,2.334202963275579,9.116036779116955
127,2.28584,-5,1.0651291001564083,-9.71,0.88,-0.96,2.313497374680404,9.062389768726133
128,2.30612,-5,1.8637059853957652,-9.73,0.69,-0.96,2.291251507761427,9.016775074232395
129,2.325224,-5,2.007934261872136,-9.74,0.53,-0.97,2.2840079193897806,8.97844389961306
130,2.34218,-5,1.5703821191035001,-9.74,0.37,-0.99,2.2832826363932837,8.933467783629734
131,2.361964,-5,0.890730037665734,-9.75,0.22,-1.0,2.284458412163248,8.882500022823258
132,2.3710199999999997,-5,0.890730037665734,-9.75,0.22,-1.0,2.277280547754086,8.815253391783122
133,2.3877479999999998,-5,0.15099668870541502,-9.75,-0.02,-0.99,2.2694463634397497,8.74865331186125
134,2.407828,-5,0.7531268153505092,-9.75,-0.1,-0.98,2.249944525161587,8.682417629580733
135,2.4259999999999997,-5,0.3443835071544513,-9.75,-0.27,-0.96,2.229347469887956,8.617076526109775
136,2.442924,-5,0.196468827043885,-9.74,-0.44,-0.95,2.215187446181327,8.546340136300522
137,2.462784,-5,0.638200595424354,-9.74,-0.62,-0.93,2.1980888137670846,8.479315321404396
138,2.4797599999999997,-5,0.5489990892524322,-9.73,-0.8,-0.9,2.177985527978379,8.414079190066694
139,2.499136,-5,0.6558963332722634,-9.71,-0.99,-0.87,2.157382993100036,8.350439134658876
140,2.518304,-5,0.8114185110040317,-9.7,-1.08,-0.85,2.1349500473727105,8.289188797865181
141,2.53522,-5,1.0181355508968342,-9.69,-1.25,-0.8,2.110294055903253,8.2293500838595
142,2.555316,-5,2.032461561752153,-9.67,-1.43,-0.77,2.0795028365189214,8.18468940138616
143,2.574588,-5,2.1010711553871753,-9.64,-1.6,-0.74,2.0503106444430834,8.149207040387278
144,2.591352,-4,1.908219064992277,-9.61,-1.78,-0.72,2.024611556521353,8.10749982875326
145,2.600268,-4,1.908219064992277,-9.61,-1.78,-0.72,2.0048450827992084,8.049200427675494
146,2.619468,-3,2.418387892791394,-9.58,-1.95,-0.67,1.9758703483067896,8.01542277220898
147,2.636376,-2,2.1731543893612346,-9.58,-1.95,-0.67,1.9538422187978501,7.978926588401061
148,2.656408,-2,1.1304866208850064,-9.56,-2.08,-0.63,1.9418363582997276,7.936702774498448
149,2.675132,0,0.7032069396699665,-9.53,-2.2,-0.59,1.934046840319375,7.878556731351127
150,2.692116,2,1.3518505834595775,-9.51,-2.32,-0.53,1.9322177228293338,7.820695197576305
151,2.712144,3,1.671227094083865,-9.48,-2.44,-0.45,1.9424667309524082,7.775655215177988
152,2.729088,5,1.945276329985023,-9.45,-2.57,-0.35,1.9462535347038228,7.730981149925462
153,2.749076,6,4.3535962146253295,-9.44,-2.62,-0.3,1.9570373671379657,7.7186189998750585
154,2.769276,8,6.898079442859439,-9.41,-2.72,-0.19,1.9970595994411877,7.7569478417544175
155,2.78618,11,5.393579516425062,-9.37,-2.86,-0.04,2.034787701812874,7.78552386101705
156,2.806472,13,7.371851870459688,-9.36,-2.89,-0.01,2.075345785476509,7.839728845607146
157,2.82508,17,8.893958623695076,-9.35,-2.93,0.08,2.120209484098354,7.915752864183522
158,2.8419559999999997,21,6.629607831538754,-9.35,-2.93,0.18,2.142736222414885,7.971427635671548
159,2.850936,21,6.629607831538754,-9.35,-2.93,0.18,2.1385494769795423,7.9556484317375284
160,2.870828,27,2.2047902394558987,-9.39,-2.8,0.3,2.1360590549389165,7.968202272690404
161,2.8874999999999997,32,1.593298465448329,-9.44,-2.6,0.37,2.1228444361960093,7.9245500578732475
162,2.907692,35,1.7931815301301761,-9.48,-2.47,0.42,2.120021617107374,7.883426877647372
163,2.925468,39,2.49899979991996,-9.55,-2.15,0.52,2.1215117988156047,7.846262703047618
164,2.942576,43,2.169446934128604,-9.61,-1.84,0.55,2.1262520156241154,7.810883514149432
165,2.962284,46,2.4964174330427995,-9.67,-1.54,0.47,2.1326644677788775,7.7815478593623
166,2.979284,48,3.8905141048452707,-9.72,-1.21,0.36,2.130394348784478,7.760523695173111
167,2.9987839999999997,49,3.622554347418407,-9.76,-0.86,0.26,2.1270541442324236,7.758463030321442
168,3.018992,50,2.726627954085412,-9.79,-0.49,0.2,2.1157367198390373,7.7473020860346
169,3.035732,50,2.9039455917768158,-9.79,-0.31,0.17,2.102031794324614,7.719116904352227
170,3.055884,50,2.4998199935195333,-9.8,0.04,0.13,2.0880468636667686,7.6982521641284345
171,3.0744719999999996,50,2.756628375389037,-9.79,0.41,0.07,2.079519357786841,7.6717925130078335
172,3.091436,48,2.644182293261945,-9.77,0.82,0.0,2.077305673492885,7.642289106838092
173,3.100472,48,2.644182293261945,-9.77,0.82,0.0,2.0701503872833893,7.59086885577877
174,3.120412,46,3.1363832673957432,-9.69,1.44,-0.09,2.066832470092599,7.573188012157288
175,3.1372079999999998,43,3.51,-9.63,1.83,-0.15,2.0574643105122905,7.553691256575639
176,3.157264,41,3.3911944798256557,-9.59,2.01,-0.18,2.043538022819629,7.547583352558092
177,3.175004,37,4.064295756954703,-9.51,2.35,-0.24,2.0287271003711784,7.5384004686970965
178,3.19182,34,4.350482731835629,-9.43,2.66,-0.28,2.01141627111414,7.533838843969607
179,3.2008199999999998,34,4.350482731835629,-9.43,2.66,-0.28,1.9946718938659274,7.497680106294891
180,3.220872,29,4.623851208678757,-9.3,3.08,-0.34,1.9724545192891727,7.512343696121251
181,3.237612,24,4.878534616050193,-9.21,3.34,-0.38,1.953471414647264,7.516565583212994
182,3.257784,20,5.261273610068193,-9.16,3.45,-0.41,1.9449270721518754,7.543522606720385
183,3.275264,16,5.956215241241707,-9.09,3.64,-0.47,1.9532061445500515,7.566250377019597
184,3.292284,12,6.101876760472961,-9.02,3.79,-0.55,1.9707934526822708,7.59355165769295
185,3.312052,8,4.7665920740084315,-8.97,3.9,-0.67,1.9862430785969014,7.625662521391726
186,3.32884,4,1.2384667940643381,-8.92,3.96,-0.85,1.9883401370784612,7.600755903269091
187,3.348532,0,2.2844474167728177,-8.91,3.95,-1.05,1.9799785057148949,7.560129434327757
188,3.36834,-3,5.43185051340701,-8.93,3.85,-1.18,1.9354111418961182,7.561238566767018
189,3.385036,-3,6.98702368680685,-8.98,3.71,-1.26,1.8697768837492792,7.589598246329165
190,3.405128,-3,3.3857790831653505,-9.0,3.66,-1.29,1.8180525479575125,7.618490340695068
191,3.423708,-2,2.2239154660193363,-9.04,3.54,-1.32,1.7976027445084823,7.595291320795756
192,3.44056,-3,10.59053350875205,-9.13,3.31,-1.32,1.8565298971232949,7.6279527855959435
193,3.4603439999999996,-6,12.498103856185544,-9.22,3.06,-1.3,1.9415552787133898,7.781032504148663
194,3.477176,-7,15.34219019566633,-9.33,2.74,-1.2,1.9054077083568786,7.940023336627816
195,3.496184,-7,5.7980772675086,-9.37,2.62,-1.14,1.9106930628750503,8.065627356336591
196,3.51648,-6,8.79828392358419,-9.43,2.44,-1.08,2.0044607304939284,8.138438147442564
197,3.5335479999999997,-6,15.764130169470182,-9.5,2.19,-1.01,2.0487983143828497,8.272740707051447
198,3.55388,-6,7.853623367592821,-9.56,1.93,-0.95,2.0428452110485793,8.437525707247996
199,3.572952,-6,2.071931466048045,-9.6,1.67,-1.0,2.006438914531418,8.456862715880357
200,3.589852,-6,1.6055217220579734,-9.64,1.41,-1.08,1.9781957835895776,8.412624113058616
201,3.609488,-6,2.056817930688081,-9.66,1.17,-1.13,1.9668436630017656,8.373267881508037
202,3.6262839999999996,-6,1.8548854412065454,-9.69,0.92,-1.15,1.9732782291265427,8.330805284163972
203,3.644948,-7,1.263051859584554,-9.7,0.79,-1.15,1.963539448368746,8.284588792793716
