,Time,Angle,LinAcc,GravX,GravY,GravZ,LinVel1,LinVel2
0,0.029004,2,0.542125446737192,-9.77,0.2,-0.7,0.0,0.0
1,0.045812,2,0.6415605972938176,-9.78,0.0,-0.67,5.143258117800245,10.7682315936698
2,0.065468,2,0.48083261120685233,-9.78,-0.14,-0.65,5.133384996147387,10.698907641666162
3,0.08526399999999999,2,1.55161206491829,-9.78,-0.29,-0.63,5.129601156235375,10.638669946613668
4,0.10214799999999999,2,2.2294842452908252,-9.77,-0.44,-0.59,5.137820711841128,10.59023512920767
5,0.12211599999999999,2,3.1596993527865904,-9.77,-0.57,-0.55,5.169227779893896,10.563685905794095
6,0.13930399999999998,2,3.3419904248815553,-9.76,-0.7,-0.51,5.204420509155201,10.539206595286595
7,0.15623199999999998,2,2.9047202963452436,-9.76,-0.77,-0.49,5.236751331183858,10.511723922374276
8,0.17604399999999998,2,2.3478500803926985,-9.75,-0.92,-0.45,5.267035926607491,10.48340105206946
9,0.192968,2,2.6590975912891954,-9.73,-1.08,-0.41,5.28746661118479,10.445415010810452
10,0.21265599999999998,3,1.6888457596832223,-9.72,-1.18,-0.36,5.305532912860498,10.407861332700643
11,0.23246399999999998,4,1.860537556729237,-9.71,-1.27,-0.3,5.311154390451528,10.362659592609612
12,0.249248,5,3.0226809292414574,-9.7,-1.35,-0.21,5.320091613592312,10.323284729687096
13,0.26944399999999996,6,4.190763653560053,-9.7,-1.39,-0.16,5.352519313195661,10.315771260627443
14,0.27843999999999997,6,4.190763653560053,-9.7,-1.39,-0.16,5.360396905822716,10.273116537998087
15,0.295352,8,5.120722605257973,-9.68,-1.52,0.01,5.401177937455799,10.271499633345872
16,0.31512799999999996,10,6.189483015567617,-9.67,-1.6,0.14,5.4681970223604175,10.302980114067815
17,0.335088,12,5.59433642177515,-9.66,-1.65,0.3,5.542697874252411,10.340227799595713
18,0.351976,14,5.720043706126728,-9.65,-1.65,0.46,5.603667024424309,10.355411592938935
19,0.371784,17,5.816743074951824,-9.65,-1.62,0.6,5.685080171106867,10.389317096761957
20,0.388936,21,5.709062970400661,-9.65,-1.53,0.71,5.75625842980367,10.407807576950118
21,0.406256,24,5.837987666996223,-9.66,-1.46,0.75,5.82898604707076,10.427450203013194
22,0.426516,27,4.241579894331828,-9.69,-1.25,0.8,5.902795736431447,10.449201389952666
23,0.443316,31,1.7876800608610033,-9.72,-0.97,0.84,5.92757795366143,10.419492341119504
24,0.46293999999999996,33,1.8067097165842663,-9.74,-0.68,0.86,5.917590859041453,10.374405661159015
25,0.482844,36,3.222948960191582,-9.75,-0.44,0.87,5.881997507135184,10.344105991853507
